,url,title,sentiment_mean,num_tweets
23602,http://www.cnn.com/2016/01/12/politics/laurence-tribe-ted-cruz-birther-argument/index.html,Cruz's law professor on birther issue: His own legal philosophy disqualifies him,0.5,32
23712,http://www.npr.org/2016/01/20/463680893/palin-endorses-trump-her-choice-is-a-blow-to-ted-cruz,Palin Endorses Trump; Her Choice Is A Blow To Ted Cruz,0.6875,16
23730,http://www.huffingtonpost.com/tom-engelhardt/how-trumps-wall-arrived-by-escalator_b_9540418.html,How Trump's Wall Arrived by Escalator,0.416666656733,12
23926,https://www.washingtonpost.com/news/post-politics/wp/2016/01/26/ted-cruz-challenges-donald-trump-to-a-mano-a-mano-debate/,Ted Cruz challenges Donald Trump to a 'mano a mano' debate,0.461538463831,26
24031,http://www.wsj.com/articles/the-real-kasich-threat-1459810616,The Real Kasich Threat,0.882352948189,17
24110,https://www.washingtonpost.com/opinions/who-had-the-worst-week-in-washington-ted-cruz/2016/01/08/16b4c072-b574-11e5-9388-466021d971de_story.html,Who had the worst week in Washington? Ted Cruz.,-0.666666686535,12
24155,http://www.politico.com/story/2016/04/cruz-to-name-fiorina-as-vp-running-mate-222541,Cruz to name Fiorina as VP running mate,0.20000000298,10
24306,http://www.politico.com/magazine/story/2016/02/john-kasich-mean-became-nice-new-hampshire-213589,How Mean Old John Kasich Became Mr. Nice,0.818181812763,11
24326,https://www.washingtonpost.com/news/the-fix/wp/2016/02/02/the-bad-news-for-ted-cruz-his-iowa-win-looks-very-similar-to-mike-huckabees-and-rick-santorums/,The bad news for Ted Cruz: His Iowa win looks very similar to Mike Huckabee's and Rick Santorum's,0.625,16
24349,http://blogs.wsj.com/washwire/2016/01/10/donald-trump-the-state-of-the-union-is-a-mess/,Donald Trump: The State of the Union Is a ‘Mess’,0.10000000149,10
24358,http://www.huffingtonpost.com/richard-north-patterson/the-rise-of-the-unfit-tru_b_9131344.html,"The Rise Of The Unfit: Trump, Cruz and Rubio",0.0357142873108,28
24375,https://www.washingtonpost.com/news/the-fix/wp/2016/01/26/dear-republican-establishment-its-too-late-to-stop-donald-trump-or-ted-cruz/,Dear Republican Establishment: It's too late to stop Donald Trump (or Ted Cruz),0.814814805984,27
24383,http://www.politico.com/blogs/2016-dem-primary-live-updates-and-results/2016/02/bernie-sanders-vladimir-putin-219847,Sanders on dealing with Putin: 'I took on a lot of people as mayor of Burlington',0.10000000149,10
24512,https://www.washingtonpost.com/posteverything/wp/2016/03/22/my-three-foreign-policy-questions-for-donald-trump/,My five foreign policy questions for Donald Trump,0.157894730568,19
24590,https://www.washingtonpost.com/news/the-fix/wp/2016/03/29/whether-he-knew-it-or-not-donald-trumps-immigration-message-was-perfect-for-the-2016-gop-primary/,"Whether he knew it or not, Donald Trump's immigration message was perfect for the 2016 GOP primary",0.857142865658,14
24661,http://www.wsj.com/articles/chris-christie-makes-his-charge-1452297381,Chris Christie Makes His Charge,-0.20000000298,15
24706,http://blogs.wsj.com/washwire/2016/01/12/why-the-gop-is-more-likely-than-clinton-to-target-sanders/,Why the GOP Is More Likely Than Clinton to Target Sanders,0.0588235296309,17
24768,http://www.huffingtonpost.com/richard-north-patterson/the-gops-super-doomsday_b_9306830.html,The GOP's Super Doomsday,1.0,19
25105,https://www.buzzfeed.com/andrewkaczynski/donald-trump-mocks-hillary-clintons-subway-ride-sad,"Donald Trump Mocks Hillary Clinton's Subway Ride: ""Sad!""",-1.0,17
