,tid,url
1757275,714593611946459136,http://www.realclearpolitics.com/articles/2016/03/23/trumps_personality_is_hands-down_unpresidential_130064.html
975113,683052758451249152,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F02%2Fus%2Fpolitics%2Fjeb-bush-presidential-campaign.html%3Fpartner%3DIFTTT%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1661432,712315678582243329,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F28%2Fworld%2Feurope%2Ftrump-finds-new-city-to-insult-brussels.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1154378,693733563196391424,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F01%2F31%2Fopinion%2Fsunday%2Fhillary-clinton-endorsement.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
700448,695562778665488385,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F02%2F05%2Fus%2Fpolitics%2Fhillary-clinton-wall-street-ties.html%3Fsmid%3Dtw-nytimes%26smtyp%3Dcur%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
560116,695378816517058561,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F02%2F05%2Fus%2Fpolitics%2Fmarco-rubio-super-pac-taunts-jeb-bush-for-poor-showing.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
767302,702810200839987201,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F02%2F25%2Fus%2Fpolitics%2Fdonald-trump-path.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
643457,702796241072168960,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F02%2F26%2Fus%2Fpolitics%2Fhow-to-watch-republican-debate.html%3Fpartner%3DIFTTT%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1567102,709731285086937088,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F03%2F16%2Fus%2Fpolitics%2Fdonald-trump-butler-mar-a-lago.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
218039,721382582726868992,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F16%2Fopinion%2Fthe-case-for-donald-trump.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
358295,721838339641356288,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F17%2Fopinion%2Fsunday%2Fhillary-is-not-sorry.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
326516,723663328514478080,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F23%2Fus%2Fgovernor-terry-mcauliffe-virginia-voting-rights-convicted-felons.html%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
399609,725147291753926656,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F27%2Fus%2Fpolitics%2Fdemocratic-race-sanders-clinton.html%3Fpartner%3Drss%26emc%3Drss%26utm_source%3Dtwitterfeed%26utm_medium%3Dtwitter%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1690637,712580111187501056,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2Finteractive%2F2016%2Fus%2Felections%2Fprimary-calendar-and-results.html%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
421189,696884928135438336,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2Fpolitics%2Ffirst-draft%2F2016%2F02%2F08%2Fgay-voter-to-marco-rubio-why-do-you-want-to-put-me-back-in-the-closet%2F%3Fsmid%3Dfb-nytimes%26smtyp%3Dcur%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
542238,703277803710631938,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2Fpolitics%2Ffirst-draft%2F2016%2F02%2F26%2Fchris-christie-endorses-donald-trump%2F%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1356783,708792667967074304,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2Fpolitics%2Ffirst-draft%2F2016%2F03%2F12%2Fsay-who-was-that-mysterious-man-behind-hillary-clinton%2F%3Fsmid%3Dtw-share%26_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
1791003,715151976376442881,https://myaccount.nytimes.com/auth/login?URI=http%3A%2F%2Fwww.nytimes.com%2Fpolitics%2Ffirst-draft%2F2016%2F03%2F29%2Fdonald-trump-says-he-no-longer-vows-to-support-the-republican-nominee%2F%3F_r%3D5&REFUSE_COOKIE_ERROR=SHOW_ERROR
603108,697230223541194752,https://twitter.com/npr/status/697227219941355521
737218,702648842445950976,https://twitter.com/nprbooks/status/702625524070412289
163450,719914813925621760,https://twitter.com/politico/status/719839996203659264
1369536,708311072839753729,https://twitter.com/washingtonpost/status/708308967005536256
1631846,710942034257977346,https://www.buzzfeed.com/
1659198,712248267690487808,https://www.google.com/url?rct=j&sa=t&url=http%3A%2F%2Fwww.nytimes.com%2Fpolitics%2Ffirst-draft%2F2016%2F03%2F22%2Fted-cruz-marco-rubio-ticket-allies-say-yes-rubio-says-no%2F&ct=ga&cd=CAIyGjkzMzBiMTQ5MGVkZjIxMjk6Y29tOmVuOlVT&usg=AFQjCNHl07JnPY92eeeZcs6-I6JUECPvuw&utm_source=dlvr.it&utm_medium=twitter
1287809,704693463766458369,https://www.google.com/url?rct=j&sa=t&url=http://www.wsj.com/articles/hillary-clinton-and-bernie-sanders-make-last-push-for-super-tuesday-voters-1456830048&ct=ga&cd=CAIyGjVmNjNjOGJhNjYyNTgyODM6Y29tOmVuOlVT&usg=AFQjCNGXbdg4vTMgOEJMXcFWRBFx7Abxfg
1492640,706698272992321536,https://www.propublica.org/article/by-the-numbers-the-u.s.s-growing-for-profit-detention-industry
1670736,712100413252571136,https://www.washingtonpost.com/blogs/post-partisan/wp/2016/03/21/a-transcript-of-donald-trumps-meeting-with-the-washington-post-editorial-board/?postshare=6931458612930181&tid=ss_tw
1534539,709420357078355968,https://www.washingtonpost.com/news/fact-checker/wp/2016/03/14/did-hillary-clinton-cast-a-vote-that-led-to-the-bp-tragedy-in-the-gulf-of-mexico/?postshare=2841457973953882&tid=ss_tw-bottom
398499,723520266442268672,https://www.washingtonpost.com/news/opinions/wp/2016/04/21/john-kasich-says-the-gop-doesnt-like-ideas-heres-the-other-thing-they-dont-like/?postshare=2021461335578460&tid=ss_tw-bottom
304855,721870902812475392,https://www.washingtonpost.com/news/post-politics/wp/2016/04/17/clinton-denounces-divisiveness-of-trump-cruz-in-new-yorks-most-conservative-borough/?utm_source=dlvr.it&utm_medium=twitter
786925,699635172472287232,https://www.washingtonpost.com/news/the-fix/wp/2016/02/15/why-senate-republicans-made-a-big-mistake-on-the-supreme-court-opening/
448550,702335167591948288,https://www.washingtonpost.com/news/the-fix/wp/2016/02/23/things-are-getting-ugly-as-nevada-votes/
686159,701531620562440192,https://www.washingtonpost.com/opinions/moment-of-truth-we-must-stop-trump/2016/02/21/0172e788-d8a7-11e5-925f-1d10062cc82d_story.html?postshare=9321456092956210&tid=ss_tw-bottom
1470987,706677408724705282,https://www.washingtonpost.com/politics/behind-the-rise-of-trump-long-standing-grievances-among-left-out-voters/2016/03/05/7996bca2-e253-11e5-9c36-e1902f6b6571_story.html?postshare=391457319707843&tid=ss_tw
1713857,713483352255234048,https://www.washingtonpost.com/politics/donald-trump-cant-stop-saying-nasty-things-about-women-it-could-cost-him/2016/03/24/51a0ee82-f1d7-11e5-85a6-2132cf446d0a_story.html
786784,698013454536478720,https://www.washingtonpost.com/politics/hillary-clinton-criticizes-president-obamas-foreign-policy-in-interview-with-the-atlantic/2014/08/11/46d30564-2170-11e4-8593-da634b334390_story.html
1461424,706945359684227073,https://www.washingtonpost.com/politics/how-the-nra-helped-put-bernie-sanders-in-congress/2015/07/19/ed1be26c-2bfe-11e5-bd33-395c05608059_story.html?postshare=1351457383863750&tid=ss_tw
40476,716415921041092610,https://www.washingtonpost.com/politics/in-turmoil-or-triumph-donald-trump-stands-alone/2016/04/02/8c0619b6-f8d6-11e5-a3ce-f06b5ba21f33_story.html
648896,704454628734328833,https://www.washingtonpost.com/politics/trump-mortgage-failed-heres-what-that-says-about-the-gop-front-runner/2016/02/28/f8701880-d00f-11e5-88cd-753e80cd29ad_story.html?postshare=771456790085809&tid=ss_fb
34997,716615881451671553,https://www.washingtonpost.com/politics/trump-says-us-abortion-laws-are-set-and-we-have-to-leave-it-that-way/2016/04/02/f90c8ea0-f8ef-11e5-a3ce-f06b5ba21f33_story.html?tid=sm_tw
196419,718637786006437888,https://www.washingtonpost.com/world/national-security/prosecutors-offer-details-on-dennis-hasterts-alleged-sexual-abuse-of-teenagers/2016/04/08/5a96bd68-fcc8-11e5-80e4-c381214de1a3_story.html
