author,follower_ct,friends_count,favourites_count,verified
1452477602,237,6,12,False
973527912,632,627,1,False
31239996,6391,6128,27072,False
4053945194,505,40,0,False
230450027,17025,270,0,True
191538028,3744,3370,16559,False
86102894,4073,3495,167,False
2179951,1354,2034,191,False
23120752,188,59,1,False
180986738,3305,3839,10130,False
2467791,6559703,1284,4260,True
1214307817,13,188,4,False
146060152,12762,8628,269,False
18639738,22618,95,1352,True
177230716,513,593,109,False
259074538,53486,355,62,False
46166910,,,,
14303381,,,,
2281972608,880,319,3980,False
27046785,22969,2965,40455,False
128334973,1546,2247,36,False
1595021803,60,753,0,False
4491531140,446,496,1061,False
15537302,11453,277,702,False
702353974641324032,787,43,1,False
1385771911,2047,1785,4792,False
3393088392,777,2947,26,False
236026761,55373,3704,7340,True
1467962250,173,341,0,False
17687436,8396,7790,7038,False
1858767757,63,43,0,False
77694454,755,845,0,False
3066383171,121,48,3,False
147135381,4909,632,277,False
130001814,471,1268,1,False
17542265,11704,1593,109,False
974885784,527,1558,37,False
51684249,,,,
59554714,1387,1265,303,False
244586991,4083,584,719,False
58260634,846,290,8,False
44356510,1256,797,108,False
3334862661,608,644,687,False
41829280,11652,11634,262,False
2154191777,347,212,155,False
40602531,3051,291,22,False
113111974,617,2064,3795,False
3731479463,31,3,15,False
891706524,87564,44,458,False
131500972,59396,656,124,True
2944996509,18260,18335,218,False
174089136,6237,5600,139,False
386511793,81,79,4337,False
154909422,5884,1336,568,True
122076087,218,638,27,False
2836839353,16834,1840,2781,False
17353658,25668,20486,8282,False
129350587,253,160,25,False
1214288828,269,188,3,False
34726846,751,1093,0,False
197496309,104314,77,792,True
27413440,5898,4973,4,False
3314514080,484,687,2673,False
4260412355,125,227,3,False
2820209142,286,498,7,False
202726343,6887,1403,279,False
866829132,2341,2651,89,False
16989130,6384,2207,13,False
64916983,15868,1277,29,False
2662265804,209,573,5,False
23974861,6710,6914,15395,False
701798063128625152,,,,
345517008,2676,2169,8,False
21316253,87000,5117,14,True
28164691,1147,1758,11508,False
2537198585,1982,483,387,False
18230228,77,147,279,False
314536920,7851,8119,13226,False
43445412,13253,10030,1279,False
2613709789,247,935,731,False
3247993823,7739,6484,1127,False
1684704224,149,105,4286,False
21627728,300,277,68,False
219350591,4601,1031,627,False
16067067,1666,455,38244,False
3082238950,2262,2265,29,False
920219473,414,1184,133,False
21990464,17797,4315,8,False
479601642,3822,133,84649,False
4721189868,617,668,193,False
21707139,4692,5044,8032,False
153116157,36075,31454,393,False
14500848,2414,2484,22,False
492246002,1534,146,2,False
546623315,1170,1755,21,False
258479092,435,1103,26,False
1214297077,12,198,4,False
407473142,84940,85208,11,False
887145463,4696,4648,12162,False
39916537,17181,98,80,False
15815676,1035,2057,19,False
26528766,3943,714,23179,False
14333781,759,2149,245,False
97633280,1155,978,0,False
4103070208,18,112,0,False
1932657667,99024,9,0,False
864584708,29244,678,9,False
17699845,1750,2234,10923,False
54699014,7157,4005,93,False
2864174087,1886,2327,3232,False
51149832,128,291,21,False
4853998601,3423,627,1102,False
3356482571,22,0,0,False
579112274,1671,2076,1235,False
352539661,14075,12628,2249,False
603798545,412,1037,7,False
124371986,7820,3263,28567,False
1214290435,13,179,4,False
125283348,65,12,2,False
275125422,150,6,0,False
27124758,10857,11790,12156,False
17544215,272,234,68,False
2927074329,591,46,0,False
2865159195,628,87,328,False
4154338332,546,41,0,False
3144223773,528,1521,1319,False
4641682463,221,12,1,False
247614496,1454,1489,4257,False
210928673,2079,3348,5,False
1462278134,5003,4969,80,False
38992932,293,132,40709,False
123110059,1544,1920,5,False
15359014,1834,2016,130,False
2429594665,29,39,3,False
112970794,423937,305033,9,False
102171691,2483,585,2354,True
14328877,441,170,142,False
61434926,3652,3919,5,False
4804084783,,,,
110466097,5668,743,820,False
145659451,13567,11838,13742,False
2280669680,1570,724,22,False
23657527,1381,1292,13,False
1703040056,770,841,0,False
458015801,2538,1025,15504,False
238027836,2872,1688,2,False
455108106,2126,2098,626,False
5741722,2098299,104535,345,True
519728191,6169,4084,53,False
2597141568,392,241,1288,False
14365762,4304,5042,22,False
3314529347,4267,5002,32201,False
4246693046,,,,
3020695373,2161,2044,44,False
15905863,513,702,128,False
17097801,246,791,8,False
24484939,3306,661,47,True
1246177122,1103,203,7,False
16337999,1377,4999,509,False
20722768,3191,3682,20,False
444304468,557,284,22,False
1179710990,5932,827,6183,False
19518552,427,856,119,False
3761241,23929,20327,34,False
137655302,5133,4922,38163,False
42091611,176587,177034,27088,False
4553731353,914,1933,1491,False
4502289501,61,81,9,False
15467215,2139,10,0,False
93111391,77389,72228,2242,False
62340193,2000,10,0,False
28052578,382,67,11,False
16067683,3415,955,98,True
124814437,11275,4756,620,False
18801766,3581,1104,76,False
176909116,6659,5256,1787,False
40018661,938,344,36,False
1486206134,1178,1850,2,False
47062123,5008,5783,8,False
4439798892,560,40,0,False
348071022,1467,894,6191,False
14915067,13892,562,3165,False
4794182534,10728,11737,17398,False
742016113,4301,2377,923,False
67232882,6208,8877,3,False
19536403,347,99,4,False
89983830,1220,1576,0,False
19884087,2335,620,22,False
3610188921,2359,3001,2939,False
4705503319,111,158,1,False
381424763,400,59,0,False
86412412,1496,941,4,False
15893354,40688,1397,814,True
349183825,1313,2184,20667,False
22064255,10707,9218,23012,False
781251776,3138,278,847,False
289963138,10529,181,9,True
104170629,1246,1369,61,False
2172753030,77,18,130,False
17822855,4048,1426,11232,True
1214286984,14,173,0,False
21587082,27854,26244,468,False
945132685,490,743,0,False
95249550,845,730,1085,False
22918287,4997,5129,716,False
205769582,110957,22458,284,False
28818582,787,245,0,False
3712646295,1707,2889,6,False
2393298072,1844,1907,23,False
22278340,606,82,44,False
372778138,834,915,0,False
111381659,9746,9553,15476,False
38223004,799,865,0,False
16032925,568536,247,0,True
55037674,75,31,33,False
3304680457,172,235,3,False
973565089,825,1119,0,False
58308924,355,465,30,False
4707710115,1838,3206,4001,False
15170286,19775,19687,421,False
1337701542,1122,60,1,False
1597096567,75,4,0,False
1945076263,3984,3722,14194,False
2608043178,6294,5236,4,False
700612022010916864,,,,
169985197,15358,736,678,False
1561900206,892,1008,6016,False
131679409,14,6,0,False
441660597,755,1829,0,False
964986038,1875,1189,0,False
16635063,2073,1998,4928,False
20812660,6032,5310,0,False
262900807,1707,2014,882,False
108837407,108,29,0,False
4698979520,2471,2081,889,False
242369729,9880,10596,0,False
330486427,553,539,5,False
145681522,2441,993,164,False
544378056,1295,303,895,True
592898252,469,815,102,False
973540554,690,1043,0,False
112282827,1408,922,37,False
138228941,175,393,0,False
1135168717,310,495,115,False
1638425646,3053,3294,26,False
3430288594,676,1797,345,False
488679352,62429,436,168,True
13524182,202019,8269,1474,True
36314329,2659,3567,71448,False
3282973915,130139,560,15,False
17728732,2084,1512,386,False
43616122,659,384,12,False
1214299358,13,212,4,False
16336095,1434,628,46,False
112526560,25074,1086,752,True
183876837,12209,7157,104,False
3479616743,6124,3826,19367,False
16155881,25243,20036,18,False
73829585,1844,1072,2454,False
73813227,5014,3994,20228,False
377668052,728,1188,3834,False
14933230,959,1811,3,False
24882415,18327,1393,924,False
3885993200,3392,2561,2112,False
103576819,806,1880,33,False
73019262,187,102,1336,False
2262039800,16,7,1,False
138218746,151,155,0,False
18320938,37307,7001,28535,False
2349119701,3523,4978,27451,False
632511744,15585,2237,31,False
2191481728,4206,4215,7939,False
32654594,444,0,19,False
55976150,16301,15059,554,False
4738300801,,,,
544354860,339,1233,176,False
7228682,61727,147,27,False
264451340,3646,4973,289109,False
17919245,3426,72,0,False
186557997,2296,4263,2866,False
266876176,342,395,0,False
279426321,659,1888,153,False
65209619,4832,3317,4875,False
2391352596,38289,1160,1,False
465446166,195,200,11,False
14132503,10251,8266,245,False
420048153,3746,3729,11,False
2567361932,4888,2191,14977,False
23515359,1781,1772,316,False
2173449500,273,778,18,False
799401248,1021,0,0,False
461458725,211,303,11,False
19572007,6299,6220,15082,False
94258472,228,31,0,False
1218622722,3489,3015,17,False
154985728,8712,3321,1843,True
92702455,348,1207,0,False
3291177865,6255,1214,41,True
3243261234,594,7,65,False
16593766,3332,3565,45,False
273015689,925,423,17,False
42964281,6672,6460,56,False
3269091415,6377,1047,6926,False
4741436731,11,43,0,False
219913533,3784,82,0,False
58502462,1938,528,632,False
16721461,15288,1476,4339,False
401675584,22209,19536,4777,False
2456612064,223,132,0,False
91295286,802,1112,0,False
3433659718,3660,3300,2,False
4234566983,5777,5155,20053,False
245321522,36,125,306,False
2369450892,4055,4027,2,False
30534986,29327,6110,449,False
16539190,10271,120,1555,False
4666950440,,,,
42362189,12394,11453,527,False
26487169,251363,2733,1222,True
2551151160,435,15,14426,False
67233106,579,919,0,False
39155029,31217,3256,1001,True
16305494,8464,3289,5361,False
18353495,62677,16698,3045,False
38850179,1126,252,24,False
760087898,1029,1309,12054,False
310732584,371,0,0,False
2488436060,1391,1320,527,False
255240421,284,38,8737,False
139738464,8728,940,1634,True
491476321,928,32,8,False
1206091106,519,279,2910,False
39232867,2593,2831,167,False
4084169127,194,0,0,False
371889510,5651,5385,480,False
198368615,1497,1973,114,False
17470695,7146,1063,10985,False
181039052,1036,1532,1242,False
42268013,39975,39654,585,False
23111022,4883,5349,411,False
1167764029,142,593,0,False
422317099,287,939,3,False
19416435,413,764,33,False
46151715,1908,1842,0,False
4915675710,702,40,0,False
2240756971,11439,152,13,True
1703535992,55,174,0,False
188903918,3673,3475,120848,False
21450106,233,123,22,False
